AT;BE;BG;CH;CZ;EE;ES;FI;FR;GR;HR;HU;LT;LV;NL;PL;PT;RO;RS;SI;SK
48.19;48.19;93.98;45.94;41.59;24.35;48.19;24.35;48.19;48.19;48.19;41.59;24.35;24.35;48.19;32.61;48.19;202.71;34.86;48.19;41.59
44.68;44.68;97.05;44.53;40.05;23.98;44.68;23.98;44.68;44.68;44.68;40.05;23.98;23.98;44.68;32.58;44.68;195.22;33.62;44.68;40.05
42.92;42.92;91.39;41.01;36.9;23.72;38.5;23.72;42.92;42.92;42.92;36.9;23.72;23.72;42.92;32.2;38.5;179.87;28.25;42.92;36.9
40.39;40.39;88.78;39.23;34.47;23.73;36.8;23.73;40.39;40.39;40.39;34.47;23.73;23.73;40.39;29.16;36.8;168.0;29.03;40.39;34.47
40.2;40.2;86.54;38.43;32.82;24.06;36.55;24.06;40.2;20.96;40.2;32.82;24.06;24.06;40.2;28.46;36.55;160.0;29.22;40.2;32.82
39.63;39.63;71.07;39.57;30.71;24.44;36.6;24.44;39.63;39.63;39.63;27.7;24.44;24.44;39.63;28.11;36.6;135.0;29.71;39.63;27.7
40.09;40.09;39.06;40.78;15.0;24.93;36.55;24.93;40.09;40.1;5.91;15.0;24.93;24.93;40.09;28.46;36.55;73.12;1.08;5.91;15.0
41.27;41.27;39.11;42.72;8.43;24.9;36.55;24.9;41.27;20.0;41.27;8.43;24.9;24.9;41.27;28.46;36.55;41.07;1.1;41.27;8.43
44.88;44.88;39.95;44.32;26.2;25.07;36.55;25.07;44.88;40.74;41.67;20.77;25.07;25.07;44.88;30.62;36.55;101.24;36.07;41.67;20.77
45.0;45.0;39.43;46.14;31.64;30.02;37.55;25.63;45.0;45.0;45.0;27.7;30.02;30.02;45.0;32.49;37.55;135.0;1.1;45.0;27.7
47.2;47.2;43.51;46.35;42.4;37.14;37.55;25.92;47.2;47.2;46.0;38.91;37.14;37.14;47.2;37.14;37.55;147.3;33.06;46.0;38.91
50.78;50.78;43.51;48.9;43.88;39.05;37.55;26.13;50.78;48.43;46.0;41.78;39.05;39.05;50.78;39.05;37.55;141.4;35.21;46.0;41.78
45.49;45.49;56.7;48.52;45.1;40.59;37.55;26.57;45.49;24.85;45.49;41.3;40.59;40.59;45.49;40.59;37.55;139.0;27.65;45.49;41.3
44.73;44.73;87.57;48.05;43.01;40.79;36.6;27.3;44.73;44.73;44.73;42.74;40.79;40.79;44.73;40.79;36.6;168.0;22.5;44.73;42.74
46.59;46.59;99.91;49.02;44.32;45.47;35.5;28.61;46.59;46.59;46.59;43.06;45.47;45.47;46.59;45.47;35.5;209.89;29.58;46.59;43.06
52.99;52.99;99.97;53.73;49.33;51.72;36.0;30.25;52.99;52.99;52.99;49.33;51.72;51.72;52.99;51.72;36.0;240.45;47.06;52.99;49.33
60.26;60.26;100.62;57.72;54.81;55.39;38.5;30.19;60.26;60.26;60.26;54.81;55.39;55.39;60.26;55.39;38.5;267.17;52.03;60.26;54.81
60.61;60.61;100.61;58.3;55.0;53.01;52.01;28.82;60.61;60.61;60.61;55.0;53.01;53.01;60.61;53.01;52.01;268.1;51.45;60.61;55.0
60.36;60.36;100.2;58.12;55.0;55.74;55.16;28.25;60.36;60.36;60.36;55.0;55.74;55.74;60.36;55.74;55.16;268.09;51.71;60.36;55.0
57.4;57.4;99.97;56.46;54.74;54.94;57.4;27.32;57.4;57.4;57.4;54.74;54.94;54.94;57.4;54.94;57.4;266.81;45.43;57.4;54.74
