Country,Discriminative Score
AT,0.00697675347328186
BE,0.16046512126922607
BG,0.09069764614105225
CH,0.002325594425201416
CZ,0.0767441987991333
EE,0.002325594425201416
ES,0.002325594425201416
FI,0.07209300994873047
FR,0.06279069185256958
GR,0.24883723258972168
HR,0.11395347118377686
HU,0.05348837375640869
LT,0.05813956260681152
LV,0.020930230617523193
NL,0.18372094631195068
PL,0.2069767415523529
PT,0.06279069185256958
RO,0.09534883499145508
RS,0.002325594425201416
SI,0.04883721470832825
SK,0.1418604552745819
