Country,Discriminative Score
AT,0.04883721470832825
BE,0.3465116024017334
BG,0.10465115308761597
CH,0.24418604373931885
CZ,0.00697675347328186
EE,0.10000002384185791
ES,0.025581389665603638
FI,0.002325594425201416
FR,0.23953485488891602
GR,0.369767427444458
HR,0.011627912521362305
HU,0.13720929622650146
LT,0.09069764614105225
LV,0.03953489661216736
NL,0.35581398010253906
PL,0.23953485488891602
PT,0.10000002384185791
RO,0.01627907156944275
RS,0.13255813717842102
SI,0.06279069185256958
SK,0.025581389665603638
